Question_title,Question_body,Question_answer_count,Question_comment_count,Question_creation_date,Question_favorite_count,Question_last_edit_date,Question_score,Question_tags,Question_view_count,Owner_creation_date,Owner_last_access_date,Owner_location,Owner_reputation,Owner_up_votes,Owner_down_votes,Owner_views,Answer_body,Answer_comment_count,Answer_creation_date,Answer_last_edit_date,Answer_score,Question_valid_tags
git vs mercurial performance,"<p>Do any performance benchmarks exist? </p>

<p>I'm looking to create a repo and commit/ push for legacy code that runs several gigs deep. </p>

<p>Is either faster / footprint etc? </p>

<p>I apologize if this is too vague...</p>",5,0,2011-03-14 06:44:15.357000 UTC,4.0,2012-02-24 19:57:14.483000 UTC,18,performance|git|mercurial|benchmarking|dvcs,7690,2010-12-19 17:31:56.077000 UTC,2015-07-21 22:12:06.007000 UTC,,5229,47,1,262,"<p>Original Answer (March 2011, GitHub had less than 3 years)</p>

<p>The correct performance to measure about a DVCS (which performs all operations locally anyway) is the one about your daily tasks:</p>

<ul>
<li><strong>merge</strong> (how quickly do you decide between the <a href=""https://stackoverflow.com/questions/3766657/using-mercurial-to-separate-three-versions-official-development-testing/3766692#3766692"">various branching models</a>, especially in Mercurial?)</li>
<li><strong><a href=""https://stackoverflow.com/questions/2563836/sell-me-distributed-revision-control/2563917#2563917"">publication workflow</a></strong> (how quickly do you setup one <a href=""http://progit.org/book/ch5-1.html"" rel=""nofollow noreferrer"">push/pull worlflow</a>?)</li>
<li><strong>integration</strong> (how quickly do you integrate Git with IDE, with webapp like Hudson or Jira or Redmine or Track, or ...?)</li>
<li><strong>setup</strong> (how quickly do you setup a centralized repository, with what kind of authentication mechanism: that matters if you use a <a href=""https://stackoverflow.com/questions/3597747/can-we-finally-move-to-dvcs-in-corporate-software-is-svn-still-a-must-have-for/3597851#3597851"">DVCS in an enterprise environment</a>)</li>
</ul>

<p>The raw performance of basic operations isn't that relevant, provided you understand the <a href=""https://stackoverflow.com/questions/3676038/fetch-pull-part-of-very-large-repository/3676163#3676163"">limits of a DVCS</a>: you cannot have one single repo into which you would put <em>everything</em> (all projects, or all kind of files like binaries).<br>
Some kind of modules reorganization must take place to define the right amount of repo per ""modules"" (coherent file sets).</p>

<hr>

<p>Update 2018, seven years later: The Windows support for Git is now a reality, and aim at improving perfomance/scalability of Git.</p>

<p>To illustrate that, Microsoft has its <em>entire</em> Windows codebase into <em>one</em> (giant) Git repository: See ""<a href=""https://blogs.msdn.microsoft.com/bharry/2017/05/24/the-largest-git-repo-on-the-planet/"" rel=""nofollow noreferrer"">The largest Git repo on the planet</a>"": 3.5M files, 300GB, 4,000 engineers producing 1,760 daily “lab builds” across 440 branches in addition to thousands of pull request validation builds.<br>
<em>But</em> this is with the addition of <a href=""https://en.wikipedia.org/wiki/Git_Virtual_File_System"" rel=""nofollow noreferrer"">GVFS (Git Virtual FileSystem)</a>, which  allows to dynamically download only the portions you need based on what you use.<br>
This is <em>not</em> yet in Git native, although <a href=""https://stackoverflow.com/a/48012038/6309"">its integration has begun last Dec. 2017, with the implementation of a narrow/partial cloning</a>.</p>",2.0,2011-03-14 07:06:28.540000 UTC,2018-06-03 22:39:34.523000 UTC,10.0,[]
Comparing the pros and cons of Bitbucket to Github,"<p><sup><em>Disclaimer: This is a subjective question. Please follow <a href=""https://blog.stackoverflow.com/2010/09/good-subjective-bad-subjective/"">relevant guidelines.</a></em></sup></p>
<p>I am considering the migration of source code from a traditional <code>VCS</code> to a <code>DVCS</code>. Since having a decent <strike>GUI</strike> web-based frontend and workflow tools are a must, the two obvious candidates are <a href=""https://bitbucket.org"" rel=""nofollow noreferrer"">Bitbucket</a> and <a href=""https://github.com/"" rel=""nofollow noreferrer"">Github</a>.</p>
<p>Unfortunately I have no in-depth experience with either of them, so I'd really like to have a few second opinions before taking the dive. Especially welcome would be observations <em>from a team/business perspective</em> regarding day-to-day usage and features that have an impact on productivity.</p>
<p><strong>What is Your experience with either of them? Any particular highlights or annoyances?</strong></p>",4,9,2011-08-11 10:43:33.717000 UTC,5.0,2021-01-18 12:38:11.483000 UTC,41,git|github|bitbucket|dvcs,30336,2010-08-20 13:19:14.650000 UTC,2022-03-03 09:35:41.660000 UTC,,17556,7180,132,971,"<p>You really need to answer a basic question first. Do you want to use Mercurial or Git. I had to make this decision earlier this year. Mercurial was by far easier to setup and start using. I ultimately chose Git for the following reasons:</p>

<ul>
<li>Most OpenSource Projects are moving from SVN to Git</li>
<li>Git allowed the most flexibility in whatever I wanted to do. (This is the main reason)</li>
<li>Third-party integration</li>
</ul>

<p>If your business might need complicated version control processes go with Git. The learning curve is steep but it will be easier to do what you really want at the end of the day. I will qualify what I mean by 'steep'. The difference between teaching someone Mercurial vs. Git, is trying to get a Windows user to learn Linux command lines. </p>

<p>If you want a quick easy to use DVCS in which you think simple branching and versioning is all you will ever need, don't kill yourself with Git, use Mercurial. But keep in mind most people you talk to in Mailing lists, IRC, etc. will have experience with Git not Mercurial.</p>

<p>If you plan on paying for GitHub or BitBucket, I suggest you also look at <a href=""http://www.fogcreek.com/kiln/"" rel=""noreferrer"">Kiln</a>. FogCreek has made mercurial even easier.</p>",4.0,2011-08-11 11:04:32.270000 UTC,,14.0,[]
How to specify cluster init script for spark Job,"<p>My job needs some init scripts to be executed on cluster, presently i am using ""Existing Interactive Cluster"" option in job creation and have specified init script for the cluster. But this is getting charged as higher ""Data analytics workload"".</p>

<p>is there an option that i can specify ""New Automated Cluster"" option in job creation page and still get the init scripts executed for new cluster.  I am not sure if it recommended to use <a href=""https://docs.databricks.com/user-guide/clusters/init-scripts.html#global-init-scripts"" rel=""nofollow noreferrer"">Global Init script</a>, since not all jobs needs those init script, only specific category of jobs need init script.</p>",1,0,2019-09-17 21:12:25.470000 UTC,1.0,,0,spark-structured-streaming|azure-databricks,892,2018-02-01 02:06:45.167000 UTC,2022-03-03 18:36:45.980000 UTC,,163,0,0,28,"<p>To fine tune Spark jobs, you can provide custom Spark configuration properties in a cluster configuration.</p>

<p>To set Spark properties for all clusters, create a global init script:</p>

<pre><code>%scala
dbutils.fs.put(""dbfs:/databricks/init/set_spark_params.sh"",""""""
  |#!/bin/bash
  |
  |cat &lt;&lt; 'EOF' &gt; /databricks/driver/conf/00-custom-spark-driver-defaults.conf
  |[driver] {
  |  ""spark.sql.sources.partitionOverwriteMode"" = ""DYNAMIC""
  |}
  |EOF
  """""".stripMargin, true)
</code></pre>

<p>Reference: ""<a href=""https://docs.databricks.com/user-guide/clusters/spark-config.html"" rel=""nofollow noreferrer"">Spark Configuration</a>"".</p>

<p>Hope this helps.</p>

<hr>

<p>If this answers your query, do click “Mark as Answer” and ""Up-Vote"" for the same. And, if you have any further query do let us know.</p>",1.0,2019-09-18 10:02:15.633000 UTC,,-1.0,[]
"Using Mercurial locally, only with Subversion server","<p>We are using a Subversion server at my job for source control.  I was thinking that rather than keeping up with my own branch, I would run Mercurial on my workstation, commit locally, and then commit to the Subversion trunk whenever I’m done with whatever feature I’m working on.</p>

<p>From my understanding of DVCS this is theoretically possible.  Can anyone offer reference to any tutorials on this specific type of integration, or point to any tools that will make such a process as seamless as possible?</p>",2,0,2009-04-28 21:19:51.030000 UTC,6.0,2010-03-23 16:26:20.780000 UTC,21,svn|version-control|mercurial|dvcs,4295,2008-09-15 20:31:33.703000 UTC,2020-03-12 00:10:46.360000 UTC,"Seattle, WA, USA",25126,264,20,905,"<p>Have you looked at <a href=""https://www.mercurial-scm.org/wiki/WorkingWithSubversion"" rel=""nofollow noreferrer"">this page in Mercurial wiki</a> ?</p>",2.0,2009-04-28 21:22:37.857000 UTC,2017-06-20 09:05:38.463000 UTC,8.0,[]
Is it possible to pull from/push to SourceGear Vault repository using Mercurial?,<p>I noticed that this kind of functionality exists for subversion and it works very nicely. I was wondering if there is such thing for SourceGear Vault.</p>,1,0,2010-07-09 04:52:14.217000 UTC,4.0,2012-06-11 10:38:20.627000 UTC,7,mercurial|dvcs|sourcegear-vault,629,2008-09-08 06:22:18.500000 UTC,2019-09-02 12:55:39.727000 UTC,"Vilnius, Lithuania",5679,395,23,1138,"<p>Nope, I'm afraid we only have two-way bridges for <a href=""https://www.mercurial-scm.org/wiki/HgSubversion"" rel=""nofollow noreferrer"">Subversion</a> and <a href=""https://www.mercurial-scm.org/wiki/HgGit"" rel=""nofollow noreferrer"">Git</a>. I have not heard of anyone writing a bridge for SourceGear Vault.</p>

<p>However, you can still use Mercurial <em>on top of</em> the other system. This is a general technique that works for all version control systems (VCSs). What you do is the following:</p>

<p>Checkout the latest version of the code from your foreign version control system. Initialize a Mercurial repository, add all files, and make a commit:</p>

<pre><code># checkout foreign VCS
$ hg init
$ hg addremove
$ hg commit
</code></pre>

<p>The working copy is now both a Mercurial working copy <em>as well</em> as a working copy for the foreign system. You will be doing development in Mercurial and periodically import it into the foreign system, and you will periodically import changes from the foreign VCS into Mercurial.</p>

<p>We will use the branch called <code>default</code> to track the history of the foreign system, and a named branch called <code>hg</code> to track the development we do in Mercurial.</p>

<p><strong>Note:</strong> Anton comments below that Vault will show too many files if you use named branches to separate the two lines of development — use two clones instead if this is a problem for you.</p>

<p>Let us make the <code>hg</code> branch:</p>

<pre><code>$ hg branch hg
$ hg commit -m ""Started hg branch""
</code></pre>

<p>You can now develop something:</p>

<pre><code># work, work, work...
$ hg commit -m 'Fixed bug 42'
# work, hack, work...
$ hg commit -m 'Customers will love this feature!'
</code></pre>

<p>As you work along like this, the <code>default</code> branch will begin to diverge from the <code>hg</code> branch -- the difference is exactly the changes that have yet to be exported to the foreign system. You can see the differences with</p>

<pre><code>$ hg diff default:hg
</code></pre>

<p>To actually export the changes, you update to the <code>default</code> branch, merge <code>hg</code> into it and commit the change to your foreign system:</p>

<pre><code>$ hg update default
$ hg merge hg
$ hg commit -m 'Merge with hg'
# get list of renamed files:
$ hg status --added --copies --change . | grep -A 1 '^ '
# commit to foreign VCS
</code></pre>

<p>You can then update back to the <code>hg</code> branch and continue working with Mercurial</p>

<pre><code>$ hg update hg
# work, work, wok...
</code></pre>

<p>When changes are made by others in the foreign VCS, you have to merge them back into your <code>hg</code> branch. You first update to the <code>default</code> branch. This ensures that the working copy looks how the foreign VCS expects it to look like. You can then update the working copy -- this makes Mercurial see changes, which you commit to Mercurial:</p>

<pre><code>$ hg update default
# update working copy using foreign VCS
$ hg addremove --similarity 90
$ hg commit -m 'Imported changes from foreign VCS'
</code></pre>

<p>The <code>hg addremove</code> step makes sure that Mercurial picks up any renames that has taken place in the foreign VCS. You will need to experiment with the similarity parameter to find a setting that suits you. Use <code>hg status -C</code> to see the scheduled renames.</p>

<p>You now need to merge these changes back into the <code>hg</code> branch so that you can incorporate them in your further Mercurial-based work:</p>

<pre><code>$ hg update hg
$ hg merge default
$ hg commit -m 'Merge with default'
</code></pre>

<p>You continue working like this -- always making new local development on the <code>hg</code> branch, and always updating to the <code>default</code> branch before you use the foreign VCS commands (update, commit, etc).</p>

<p>I hope this guide can help you or someone else! :-)</p>",6.0,2010-07-09 13:51:17.697000 UTC,2018-02-27 14:27:10.140000 UTC,11.0,[]
Spark micro-batches from delta lake are very small,"<p>I'm reading appends to a delta table in Azure storage, and something strange is happening. The cluster is not under any real load, but the offset checkpoint advances very slowly. Looking at the individual offsets being written, the offset progress per batch is miniscule. For example, a streaming checkpoint that is 200 versions behind the end of the commit log writes an offset that catches it up only 1-3 versions, not all 200 (or 200 minus however many were written during the interval) (yes, the job is running very far behind - that's why I noticed).</p>
<p>For reference, the job that appends to the delta table produces a new version about every three minutes. The job that reads from the table runs on a one hour interval. Yet, the offsets produced by that job are between 1 and 3 versions, not the ~20 versions that should be consumed by a one-hour interval.</p>
<p>What's going on here? Is there a way I can see what the decision-making is behind the micro-batch size?</p>",1,0,2021-06-03 00:00:49.050000 UTC,,,0,apache-spark|spark-structured-streaming|azure-databricks|delta-lake,101,2019-07-23 08:17:44.903000 UTC,2022-03-04 20:59:17.463000 UTC,"Vancouver, BC, Canada",165,14,0,15,,,,,,[]
mgcv on Databricks: the value of k-index not identical to that from RStudio,"<p>I've developed a GAM model for some Beta-distributed variable in RStudio with the mgcv package and am now transfering the code (one-to-one) in an R-Notebook on Azure Databricks. </p>

<p>One of the many things one shuould check while working with such models is whether the dimension of the basis of smooth functions is appropriate. This is done in the mgcv-function k.check which computes the so-called k-index. </p>

<p>My problem: In both environments, I use the same dataset and the same model parameters while fittign my model. BUT the k-index which gets computed in the Databricks is different from the one computed in the RStudio!   </p>

<p>The call</p>

<pre><code> k.check(modell_mo, subsample = length(data_mo_train[,1])+ 1)
</code></pre>

<p>produces in RStudio the output </p>

<pre><code>                       k'      edf   k-index p-value
  s(Intervall_Nummer) 20 19.76659 0.9149797       0
</code></pre>

<p>and in Databricks </p>

<pre><code>                      k'      edf   k-index p-value
  s(Intervall_Nummer) 20 19.76659 0.9636656       0
</code></pre>

<p>Note that I set the subsample parameter to the size of the dataset in order to avoid the random subsetting which is otherwise used while computing the k-index. In particular, if I repeat the computations I always get the same k-index in each of the environments.</p>

<p>For the moment, I'm fine with not that brilliant values of edf and p-value.  </p>

<p>I tried to copy the code from the Databricks back to RStudio, but with no effect. The discrepancy is still there.</p>",0,7,2019-08-07 12:38:51.660000 UTC,,,1,r|rstudio|azure-databricks|gam|mgcv,92,2019-08-07 11:58:40.037000 UTC,2021-04-27 15:41:39.940000 UTC,,11,0,0,1,,,,,,[]
"Spark read delta table, getting NoSuchObjectException(message:There is no database named delta) error","<p>Reading delta format data using spark</p>
<pre><code> spark.sql(&quot;select * from delta.`/mnt/data/test`&quot;).createOrReplaceTempView(&quot;test&quot;)
</code></pre>
<p><code>test</code> view creates in spark program and I can use this view in joining. Program works fine. I can get the count of view</p>
<pre><code>spark.sql(&quot;select count(*) from test&quot;).show(false)
+--------+
|count(1)|
+--------+
|551     |
+--------+
</code></pre>
<p>But I am also getting below error logs</p>
<pre><code>21/08/14 13:55:52 ERROR RetryingHMSHandler: NoSuchObjectException(message:There is no database named delta)
at org.apache.hadoop.hive.metastore.ObjectStore.getMDatabase(ObjectStore.java:487)
at org.apache.hadoop.hive.metastore.ObjectStore.getDatabase(ObjectStore.java:498)
at sun.reflect.NativeMethodAccessorImpl.invoke0(Native Method)
at sun.reflect.NativeMethodAccessorImpl.invoke(NativeMethodAccessorImpl.java:62)
at sun.reflect.DelegatingMethodAccessorImpl.invoke(DelegatingMethodAccessorImpl.java:43)
at java.lang.reflect.Method.invoke(Method.java:498)
at org.apache.hadoop.hive.metastore.RawStoreProxy.invoke(RawStoreProxy.java:108)
at com.sun.proxy.$Proxy47.getDatabase(Unknown Source)
at org.apache.hadoop.hive.metastore.HiveMetaStore$HMSHandler.get_database(HiveMetaStore.java:796)
at sun.reflect.NativeMethodAccessorImpl.invoke0(Native Method)
at sun.reflect.NativeMethodAccessorImpl.invoke(NativeMethodAccessorImpl.java:62)
at sun.reflect.DelegatingMethodAccessorImpl.invoke(DelegatingMethodAccessorImpl.java:43)
at java.lang.reflect.Method.invoke(Method.java:498)
at org.apache.hadoop.hive.metastore.RetryingHMSHandler.invoke(RetryingHMSHandler.java:105)
at com.sun.proxy.$Proxy48.get_database(Unknown Source)
at org.apache.hadoop.hive.metastore.HiveMetaStoreClient.getDatabase(HiveMetaStoreClient.java:949)
at sun.reflect.NativeMethodAccessorImpl.invoke0(Native Method)
at sun.reflect.NativeMethodAccessorImpl.invoke(NativeMethodAccessorImpl.java:62)
at sun.reflect.DelegatingMethodAccessorImpl.invoke(DelegatingMethodAccessorImpl.java:43)
at java.lang.reflect.Method.invoke(Method.java:498)
at org.apache.hadoop.hive.metastore.RetryingMetaStoreClient.invoke(RetryingMetaStoreClient.java:89)
at com.sun.proxy.$Proxy49.getDatabase(Unknown Source)
at org.apache.hadoop.hive.ql.metadata.Hive.getDatabase(Hive.java:1165)
at org.apache.hadoop.hive.ql.metadata.Hive.databaseExists(Hive.java:1154)
at org.apache.spark.sql.hive.client.HiveClientImpl$$anonfun$databaseExists$1.apply$mcZ$sp(HiveClientImpl.scala:412)
at org.apache.spark.sql.hive.client.HiveClientImpl$$anonfun$databaseExists$1.apply(HiveClientImpl.scala:412)
at org.apache.spark.sql.hive.client.HiveClientImpl$$anonfun$databaseExists$1.apply(HiveClientImpl.scala:412)
at org.apache.spark.sql.hive.client.HiveClientImpl$$anonfun$withHiveState$1.apply(HiveClientImpl.scala:331)
at org.apache.spark.sql.hive.client.HiveClientImpl$$anonfun$retryLocked$1.apply(HiveClientImpl.scala:239)
at org.apache.spark.sql.hive.client.HiveClientImpl$$anonfun$retryLocked$1.apply(HiveClientImpl.scala:231)
at org.apache.spark.sql.hive.client.HiveClientImpl.synchronizeOnObject(HiveClientImpl.scala:280)
at org.apache.spark.sql.hive.client.HiveClientImpl.retryLocked(HiveClientImpl.scala:231)
at org.apache.spark.sql.hive.client.HiveClientImpl.withHiveState(HiveClientImpl.scala:314)
at org.apache.spark.sql.hive.client.HiveClientImpl.databaseExists(HiveClientImpl.scala:411)
at org.apache.spark.sql.hive.HiveExternalCatalog$$anonfun$databaseExists$1.apply$mcZ$sp(HiveExternalCatalog.scala:279)
at org.apache.spark.sql.hive.HiveExternalCatalog$$anonfun$databaseExists$1.apply(HiveExternalCatalog.scala:279)
at org.apache.spark.sql.hive.HiveExternalCatalog$$anonfun$databaseExists$1.apply(HiveExternalCatalog.scala:279)
at org.apache.spark.sql.hive.HiveExternalCatalog$$anonfun$withClient$1$$anonfun$apply$1.apply(HiveExternalCatalog.scala:144)
at org.apache.spark.sql.hive.HiveExternalCatalog.org$apache$spark$sql$hive$HiveExternalCatalog$$maybeSynchronized(HiveExternalCatalog.scala:111)
at org.apache.spark.sql.hive.HiveExternalCatalog$$anonfun$withClient$1.apply(HiveExternalCatalog.scala:142)
at com.databricks.backend.daemon.driver.ProgressReporter$.withStatusCode(ProgressReporter.scala:372)
at com.databricks.backend.daemon.driver.ProgressReporter$.withStatusCode(ProgressReporter.scala:358)
at com.databricks.spark.util.SparkDatabricksProgressReporter$.withStatusCode(ProgressReporter.scala:34)
at org.apache.spark.sql.hive.HiveExternalCatalog.withClient(HiveExternalCatalog.scala:140)
at org.apache.spark.sql.hive.HiveExternalCatalog.databaseExists(HiveExternalCatalog.scala:278)
at org.apache.spark.sql.catalyst.catalog.ExternalCatalogWithListener.databaseExists(ExternalCatalogWithListener.scala:78)
at org.apache.spark.sql.catalyst.catalog.SessionCatalog.databaseExists(SessionCatalog.scala:265)
at org.apache.spark.sql.catalyst.analysis.Analyzer$ResolveRelations$.isRunningDirectlyOnFiles(Analyzer.scala:767)
at org.apache.spark.sql.catalyst.analysis.Analyzer$ResolveRelations$.resolveRelation(Analyzer.scala:692)
at org.apache.spark.sql.catalyst.analysis.Analyzer$ResolveRelations$$anonfun$apply$8.applyOrElse(Analyzer.scala:730)
</code></pre>
<p>I don't know why this logs are getting? How to get rid of it?
platform :  Azure Databricks
Databricks Runtime Version: 6.4 Extended support
Thanks</p>",0,3,2021-08-14 14:26:53.100000 UTC,,2021-08-15 08:16:02.883000 UTC,2,apache-spark|spark-streaming|azure-databricks|delta-lake,199,2016-12-24 14:53:07.033000 UTC,2022-02-27 13:00:10.517000 UTC,"Mumbai, Maharashtra, India",3202,59,4,242,,,,,,[]
Folder level from GIT checkout on teamcity agent,"<p>We have been tasked to move our source code from perforce to bitbucket recently. our perforce repository is quite huge and has multiple modules which are segregated in different folders . So far we have been using the VCS and checkout rules in TC to checkout only the relevant codes an build it.
However i am not sure if there are any such possibilities with GIT given that folder level checkout is currently not supported by GIT Teamcity integration.</p>

<p>Can someone please let me know how best we can achieve it from teamcity ? Breaking down our repository into multiple ones is a huge task given the age and complexity of the code base</p>",0,1,2017-02-08 14:16:27.560000 UTC,2.0,,3,git|bitbucket|perforce|dvcs|teamcity-9.1,190,2013-12-03 15:29:55.637000 UTC,2017-05-18 14:42:49.970000 UTC,,39,0,0,9,,,,,,[]
What DVCS support Unicode filenames?,"<p>I'm interested in trying out distributed version control systems. git sounds promising, but I saw a note somewhere for the Windows port of git that says ""don't use non-ASCII filenames"". I can't find that now, but there is <a href=""http://code.google.com/p/msysgit/issues/detail?id=230"" rel=""noreferrer"">this link</a>. It's put me off git for now, but I don't know if the other options are any better.</p>

<p>Support for non-ASCII filenames is essential for my Japanese company. I'm looking for one that internally stores filenames as Unicode, not a platform-dependent encoding which would cause endless grief. So:</p>

<ol>
<li>What DVCS support Unicode filenames?</li>
<li>In both Windows and Linux?</li>
<li>Ideally, with the possibility to transfer repositories between Windows and Linux machines with minimal issues?</li>
</ol>",7,1,2009-05-06 13:52:41.567000 UTC,9.0,2009-05-06 14:00:25.650000 UTC,23,git|unicode|mercurial|dvcs|bazaar,4441,2009-01-23 00:24:46.680000 UTC,2022-03-05 11:00:04.100000 UTC,"Melbourne, Australia",39096,6191,151,3741,,,,,,[]
Issue in creating a table over a csv having multiline data,"<p>Hi I am trying to create a table over a location having a csv in Azure Databricks.</p>
<pre><code>CREATE TABLE `sch`.`tab` ( columnspec ) USING CSV 
LOCATION 'dbfs:/mnt/dev/test'
</code></pre>
<p>In /mnt/dev/test storage container, the csv file is uploaded.</p>
<p>Data is like</p>
<pre><code>SECT.dfs,NEWYORK,df,34342,null,null,&quot;23dsfdsdf
sadd: 
FROM:
Latitude: ... Longitude : ...
To:
abd&quot;,err,4353543,4,342,N/A,39,null,4,234,dsf.4545,AZQA,TEST1,61.8,90,0.07,0,N/A - 700,N/A - 700,3,0.18,0.2,0,54,N/A - 700,N/A - 700,33,0,455,xffdg,meme,5,0,243.234,-343.234,38,1,1,null,105029121,null,null,D4_700_BPD_9M,n/a - Macro &gt;500m,null,null,null,null,null,0,null,null,null,null,null,null,null,null,null,null,0,null,0.18,1,0,0,0,5765,0,E,0,null,5,6,AZQA,1.15,DIRECTIONAL,60,1.5,1.999,12.35,49,40,0,0,701304010HC001776,null,null,null,null,null,null,null,null,null,mid-west,ERP-ANT.0005245,null,null,0,D4_700_BPC_9M,null,null,null,null,null,null,null,0,410270,0,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,44.22,435.15,1,0,null,null,null,null,null,3,2,1,1,1,1,null,null,null,null,null,46,null,46,0,null,90,null,780,null,N/A - 700,1,0,null,0,14.64,null,null,null,null,null,null,null,20,0,CITY OF NEWYORK 911 &amp; POLICE,null,null,CITY OF NEWYORK,5675,bpc AB,211,780,8048,null,null,null,3451113553,null,null,null,null,null,null,null,null,null,null,null,2021-06-01T08:06:26.000+0000,2021-06-01T08:06:26.000+0000
</code></pre>
<p>Data is split into multiple lines. Need some help on this.</p>",0,0,2021-06-08 17:26:00.047000 UTC,,,0,azure-databricks,12,2013-03-12 04:29:36.407000 UTC,2022-03-06 01:52:55.413000 UTC,,1339,366,25,444,,,,,,[]
How to improve spark job performance in databricks,"<p>I am executing the below query on Databricks cluster. And storing the result into DBFS in parquet format.</p>
<p>Here  <em><strong>set1_interim</strong></em> and <em><strong>set2_interim</strong></em> are also parquet files having 450 million records each.</p>
<pre><code>
spark.sql(
          s&quot;&quot;&quot;
select *
from set1_interim
union all
select *
from set2_interim
&quot;&quot;&quot;).write.mode(&quot;overwrite&quot;).option(&quot;header&quot;, &quot;true&quot;).option(&quot;delimiter&quot;,&quot;\t&quot;).parquet(s&quot;${Interimpath}/unioned_interim&quot;)
</code></pre>
<p>But its taking so much of time to complete the job. If you see below picture out of 230 tasks 229 got completed soon. For last task it takes hours to complete.</p>
<p><a href=""https://i.stack.imgur.com/0p1RH.png"" rel=""nofollow noreferrer""><img src=""https://i.stack.imgur.com/0p1RH.png"" alt=""enter image description here"" /></a></p>
<p>DAG for this job.</p>
<p><a href=""https://i.stack.imgur.com/o8dPH.png"" rel=""nofollow noreferrer""><img src=""https://i.stack.imgur.com/o8dPH.png"" alt=""enter image description here"" /></a></p>
<p>In task page I can see this is running.
<a href=""https://i.stack.imgur.com/YcLW2.png"" rel=""nofollow noreferrer""><img src=""https://i.stack.imgur.com/YcLW2.png"" alt=""enter image description here"" /></a></p>
<p>In executors all executors are alive. In running application I don't  know what is Databricks Shell in Name.
<a href=""https://i.stack.imgur.com/eWEkH.png"" rel=""nofollow noreferrer""><img src=""https://i.stack.imgur.com/eWEkH.png"" alt=""enter image description here"" /></a></p>
<p>How can in make this job run faster. My cluster configuration are 1TB, 256 core.</p>",0,2,2022-03-03 15:42:21.217000 UTC,,2022-03-03 17:44:52.963000 UTC,0,apache-spark|query-optimization|azure-databricks,16,2019-02-07 08:01:16.953000 UTC,2022-03-05 12:09:35.997000 UTC,"Vijayawada, Andhra Pradesh, India",51,1,0,7,,,,,,[]
